ID,TYPE,APN,Field2,Field3,Field4,ownership type,Field6,Field7,Field8,Field11,Field9,Tran Line no
,TRANS EASEMENT,8675024272,14.49,,,F-T,,0,Water and Power Department,,GLENDORA,T/L R/W #25B
1,TRANS EASEMENT,8678019276,1.45,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,"T/L T14B R.S.""U""
""2"
3,TRANS EASEMENT,8673035271,2.68,,,F-T,,,,,,T/L #9
4,TRANS EASEMENT,8673030274,2.24,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
5,TRANS EASEMENT,8673020274,0.487,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
6,TRANS EASEMENT,8665025271,0.36,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
7,TRANS EASEMENT,8665012275,0.29,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
8,TRANS EASEMENT,8665008278,3.49,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
9,TRANS EASEMENT,8665008277,1.12,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
10,TRANS EASEMENT,8664019270,2.23,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
11,TRANS EASEMENT,8661014279,0.08,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
12,TRANS EASEMENT,8661014278,1.72,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
13,TRANS EASEMENT,8661013907,1.61,,5/13/2010 Old APn 8661-013-904.,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
14,TRANS EASEMENT,8661011274,0.5,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
15,TRANS EASEMENT,8661011271,1.12,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
16,TRANS EASEMENT,8661010276,0.13,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
17,TRANS EASEMENT,8661010272,0.15,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
18,TRANS EASEMENT,8661008273,0.06,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
19,TRANS EASEMENT,8661008272,0.002,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
20,TRANS EASEMENT,8644032904,0.02,871,5/18/2010 Old APN 8644-029-907,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
21,TRANS EASEMENT,8644032903,0.08,3484,5/18/2010 Old APN 8644-029-906,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
22,TRANS EASEMENT,8644028272,7.17,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
23,TRANS EASEMENT,8644014272,0.16,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
24,TRANS EASEMENT,8642023272,0.73,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
25,TRANS EASEMENT,8642023271,0.14,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
26,TRANS EASEMENT,8642023270,0.14,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
27,TRANS EASEMENT,8642019902,0.15,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
28,TRANS EASEMENT,8642019272,0.45,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
29,TRANS EASEMENT,8642018903,2.3,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
30,TRANS EASEMENT,8641001274,1.675,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
31,TRANS EASEMENT,8641001273,0.32,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
32,TRANS EASEMENT,8632029900,0.02,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
33,TRANS EASEMENT,8632020912,0.016,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
34,TRANS EASEMENT,8632020910,0.782,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
35,TRANS EASEMENT,8632020282,0.405,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
36,TRANS EASEMENT,8632019270,0.603,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
37,TRANS EASEMENT,8632016270,1.76,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
38,TRANS EASEMENT,8632007270,1.717,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
39,TRANS EASEMENT,8630008274,4.62,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
40,TRANS EASEMENT,8629002270,2.095,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
41,TRANS EASEMENT,8622022270,1.76,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
42,TRANS EASEMENT,8622017274,0.035,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #9
43,TRANS EASEMENT,8622017273,1.85,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
44,TRANS EASEMENT,8622013270,0.584,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
45,TRANS EASEMENT,8622012271,1.04,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
46,TRANS EASEMENT,8621025270,0.668,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
47,TRANS EASEMENT,8621016270,0.193,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
48,TRANS EASEMENT,8621015270,0.982,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
49,TRANS EASEMENT,8621005270,0.708,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
50,TRANS EASEMENT,8620024273,1.32,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
51,TRANS EASEMENT,8620024272,0.42,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
52,TRANS EASEMENT,8620022270,1.73,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
53,TRANS EASEMENT,8620015272,0.308,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
54,TRANS EASEMENT,8620015270,1.676,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
55,TRANS EASEMENT,8620005271,1.389,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
56,TRANS EASEMENT,8619013270,0.132,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
57,TRANS EASEMENT,8619008270,0.17,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
58,TRANS EASEMENT,8619007270,3.36,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
59,TRANS EASEMENT,8564019272,1.433,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
60,TRANS EASEMENT,8564018270,0.38,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
61,TRANS EASEMENT,8564010901,1.32,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
62,TRANS EASEMENT,8564007900,0.75,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #8
63,TRANS EASEMENT,8556009272,6.8,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
64,TRANS EASEMENT,8551011271,3.01,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
65,TRANS EASEMENT,8551011270,0.95,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
66,TRANS EASEMENT,8550003271,1.73,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
67,TRANS EASEMENT,8550003270,0.117,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
68,TRANS EASEMENT,8535002272,0.017,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
69,TRANS EASEMENT,8535002271,3.14,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
70,TRANS EASEMENT,8392017275,0.24,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
71,TRANS EASEMENT,8386022272,2.6,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
72,TRANS EASEMENT,8125001901,2.59,0,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
73,TRANS EASEMENT,8123019270,1.22,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
74,TRANS EASEMENT,8123013273,0.343,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
75,TRANS EASEMENT,8123013271,0.38,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
76,TRANS EASEMENT,8115001907,3.4,148104,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
77,TRANS EASEMENT,8115001905,1.15,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
78,TRANS EASEMENT,8110001271,0.98,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
79,TRANS EASEMENT,7404034900,3.0101,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
80,TRANS EASEMENT,7404030900,3.0311,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
81,TRANS EASEMENT,7404004273,1.623,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
82,TRANS EASEMENT,7404003278,0.89,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
83,TRANS EASEMENT,7404002278,0.89,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
84,TRANS EASEMENT,7404001278,0.851,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
85,TRANS EASEMENT,7381025270,1,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
86,TRANS EASEMENT,7351034901,5.9501,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
87,TRANS EASEMENT,7351033900,2.8201,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
88,TRANS EASEMENT,7351033270,0.31,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
89,TRANS EASEMENT,7351019904,2.8501,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
90,TRANS EASEMENT,7339018903,0.595,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
91,TRANS EASEMENT,7339018902,0.71,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
92,TRANS EASEMENT,7339018271,0.82,0,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
93,TRANS EASEMENT,7339018270,6.995,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
94,TRANS EASEMENT,7339017270,1.41,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
95,TRANS EASEMENT,7339009909,1.151,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
96,TRANS EASEMENT,7339009901,2.001,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
97,TRANS EASEMENT,7339009272,1.225,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
98,TRANS EASEMENT,7339008914,1.1271,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
99,TRANS EASEMENT,7339008913,0.7431,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
100,TRANS EASEMENT,7339008912,1.2251,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #7
101,TRANS EASEMENT,7339008911,3.5501,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #63
102,TRANS EASEMENT,7339007901,1.1901,,,F-E,,0,Water and Power Department,,,T/L #60 4-30-80
103,TRANS EASEMENT,7338002278,0.4,,,F-T,,0,Water and Power Department,,,T/L #60
104,TRANS EASEMENT,7338002277,0.14,,,F-T,,0,Water and Power Department,,,T/L #60
105,TRANS EASEMENT,7337005273,1.12,,,F-T,,0,Water and Power Department,,,T/L #60
106,TRANS EASEMENT,7336009271,5.67,,,F-T,,0,Water and Power Department,,,T/L #60
107,TRANS EASEMENT,7336006903,1.927,,,F-E,,0,Water and Power Department,,,T/L #60
108,TRANS EASEMENT,7336006901,0.444,,,F-E,,0,Water and Power Department,,,T/L #60
109,TRANS EASEMENT,7336006273,0.677,,,F-T,,0,Water and Power Department,,,T/L #60
110,TRANS EASEMENT,7336006272,0.151,,,F-T,,0,Water and Power Department,,,T/L #60
111,TRANS EASEMENT,7336006271,0.5,0,,F-T,,0,Water and Power Department,,,T/L #60
