AIN,NOCLEAN,LIEN,VACANT
7404019900,0,,1
7404020900,0,,1
7404032900,0,,1
7404032901,0,,1
7404034033,0,,1
7414006006,0,,1
7414006021,0,,1
7414014002,0,,1
7414014003,0,,1
7414015019,0,,1
7414016011,0,,1
7414016012,0,,1
7414016019,0,,1
7414017014,0,,1
7414017021,0,,1
7414017023,0,,1
7414019008,0,,1
7414019035,0,,1
7414020031,0,,1
7414020032,0,,1
7414020033,0,,1
7414020045,0,,1
7414024009,0,,1
7414024011,0,,1
7414025005,0,,1
7414025006,0,,1
7414025030,0,,1
7414026019,0,,1
7414026020,0,,1
7414026026,0,,1
7414027020,0,,1
7414027021,0,,1
7414027023,0,,1
7414034026,0,,1
7414035001,0,,1
7414035016,0,,1
7414036072,0,,1
7415002034,0,,1
7415002035,0,,1
7415003010,0,,1
7415003011,0,,1
7415004004,0,,1
7415004005,0,,1
7415004018,0,,1
7415004019,0,,1
7415004024,0,,1
7415004027,0,,1
7415006031,0,,1
7415009007,0,,1
7415011020,0,,1
7415012045,0,,1
7415015013,0,,1
7415015014,0,,1
7415025032,0,,1
7415028007,0,,1
7416007036,0,,1
7416025032,0,,1
7416030012,0,,1
7416030013,0,,1
7416031015,0,,1
7416032006,0,,1
7416032007,0,,1
7420001010,0,,1
7420002016,0,,1
7420003012,0,,1
7420006045,0,,1
7420008003,0,,1
7420009033,0,,1
7420010015,0,,1
7420010016,0,,1
7420011029,0,,1
7420015008,0,,1
7420015014,0,,1
7420018004,0,,1
7420018010,0,,1
7420019024,0,,1
7420020020,0,,1
7420021021,0,,1
7420024011,0,,1
7421018028,0,,1
7421019033,0,,1
7421021030,0,,1
7421025028,0,,1
7422005017,0,,1
7422005020,0,,1
7422005046,0,,1
7422005048,0,,1
7422007011,0,,1
7422023047,0,,1
7423003902,0,,1
7423005011,0,,1
7423005026,0,,1
7423008012,0,,1
7423008013,0,,1
7423009012,0,,1
7423009013,0,,1
7423009021,0,,1
7423016009,0,,1
7423016010,0,,1
7423017001,0,,1
7423017006,0,,1
7423017007,0,,1
7423017023,0,,1
7423018015,0,,1
7423018029,0,,1
7423019015,0,,1
7423019016,0,,1
7423019017,0,,1
7423019018,0,,1
7423021028,0,,1
7423023006,0,,1
7423024001,0,,1
7423024002,0,,1
7423024003,0,,1
7423024004,0,,1
7423024020,0,,1
7423024026,0,,1
7423024029,0,,1
7423024031,0,,1
7423024032,0,,1
7423026004,0,,1
7423026005,0,,1
7423027016,1,574.91,1
7423027808,0,,1
7423029016,0,,1
7423029017,0,,1
7423029803,0,,1
7423029804,0,,1
7423029805,0,,1
7425001017,0,,1
7425008001,0,,1
7425010030,0,,1
7425010031,0,,1
7425011014,0,,1
7425011015,0,,1
7425013023,0,,1
7425023006,0,,1
7425023010,0,,1
7425023011,0,,1
7425023012,0,,1
7425023013,0,,1
7425023804,0,,1
7425024912,0,,1
7425024913,0,,1
7425025900,0,,1
7425025901,0,,1
7425025902,0,,1
7425025903,0,,1
7425025904,0,,1
7425025905,0,,1
7425025906,0,,1
7425025907,0,,1
7425025908,0,,1
7425025909,0,,1
7425025910,0,,1
7425025911,0,,1
7425026013,0,,1
7425026014,0,,1
7425029018,0,,1
7425029020,0,,1
7425030011,0,,1
7425031001,0,,1
7425031002,0,,1
7425031003,0,,1
7425031004,0,,1
7425031005,0,,1
7425031006,0,,1
7425031007,0,,1
7425031008,0,,1
7425032020,0,,1
7425032022,0,,1
7425035039,0,,1
7425035040,0,,1
7425037042,0,,1
7425037050,0,,1
7425038034,0,,1
7425039005,0,,1
7425043901,0,,1
7426005004,0,,1
7426007001,0,,1
7426008900,0,,1
7426015017,0,,1
7426016001,0,,1
7426016004,0,,1
7426016005,0,,1
7426016006,0,,1
7426016007,0,,1
7426016008,0,,1
7426016009,0,,1
7426016010,0,,1
7426016011,0,,1
7426016012,0,,1
7426016013,0,,1
7426028811,0,,1
7428002017,0,,1
7428003020,0,,1
7428003046,0,,1
7428004903,0,,1
7428008901,0,,1
7428011902,0,,1
7428011903,0,,1
7428011904,0,,1
7428011905,0,,1
7428011907,0,,1
7428011909,0,,1
7428011910,0,,1
7428011911,0,,1
7428011912,0,,1
7428011913,0,,1
7428011914,0,,1
7428011915,0,,1
7428011916,0,,1
7428011917,0,,1
7428011918,0,,1
7428012907,0,,1
7428012908,0,,1
7428012909,0,,1
7428014900,0,,1
7428017904,0,,1
7428017909,0,,1
7428017931,0,,1
7428018900,0,,1
7428018902,0,,1
7428018903,0,,1
7428018904,0,,1
7428018905,0,,1
7428018906,0,,1
7428018907,0,,1
7428018908,0,,1
7428018909,0,,1
7428018911,0,,1
7428018912,0,,1
7428018913,0,,1
7428018914,0,,1
7428019028,0,,1
7428021029,0,,1
7428026915,0,,1
7428027815,0,,1
7428028927,0,,1
7428028928,0,,1
7428028929,0,,1
7428028930,0,,1
7428028931,0,,1
7428028938,0,,1
7428028939,0,,1
7428028940,0,,1
7428028941,0,,1
7428028942,0,,1
7428030903,0,,1
7428030904,0,,1
7428031902,0,,1
7428033049,0,,1
7428033900,0,,1
7428033902,0,,1
7428033903,0,,1
7428034019,0,,1
7428034904,0,,1
7428035901,0,,1
7428037020,0,,1
7429008003,0,,1
7429008005,0,,1
7429008009,0,,1
7429008010,0,,1
7429008011,0,,1
7429008012,0,,1
7429008015,0,,1
7429008016,0,,1
7429008017,0,,1
7429008018,0,,1
7429008019,0,,1
7429008020,0,,1
7429008021,0,,1
7429008022,0,,1
7429008023,0,,1
7429008024,0,,1
7429008025,0,,1
7429008031,0,,1
4138001906,0,,1
6088010802,0,,1
6088011801,0,,1
6088012800,0,,1
6088013801,0,,1
6117013023,0,,1
6117014013,0,,1
6117015027,0,,1
6117015028,0,,1
6117017028,0,,1
6117017033,0,,1
6117020001,0,,1
6117020025,0,,1
6119017800,0,,1
6120018037,0,,1
6120019037,0,,1
6120021005,0,,1
6120021008,0,,1
6121007900,0,,1
4259002021,0,,1
4259014016,0,,1
4259024900,0,,1
4260025901,0,,1
4260039901,0,,1
4260039903,0,,1
4261014009,0,,1
4261019010,0,,1
4262012018,0,,1
4262012021,0,,1
4262013001,0,,1
4262027032,0,,1
4265001039,0,,1
4259025900,0,,1
4260039902,0,,1
4267033082,0,,1
4260025900,0,,1
7425002802,0,,1
7426028808,0,,1
7428037019,0,,1
7415002036,0,,1
7423028801,0,,1
7425002800,0,,1
7425011011,0,,1
7425011803,0,,1
7425032021,0,,1
7426027800,0,,1
7428008905,0,,1
7415001010,0,,1
7423026900,0,,1
7426028812,0,,1
7422023045,0,,1
7426028809,0,,1
4138001902,0,,1
4138001905,0,,1
6119022020,0,,1
6088013800,0,,1
6117015031,0,,1
6117017045,0,,1
6121011048,0,,1
6108013800,0,,1
6120021900,0,,1
7412026008,0,,1
7412026010,0,,1
7412026023,0,,1
7416001027,0,,1
7416008005,0,,1
7416016033,0,,1
7416016034,0,,1
7416016035,0,,1
7417002021,0,,1
7417002024,0,,1
7417002025,0,,1
7417009900,0,,1
7417009901,0,,1
7417009902,0,,1
7417009903,0,,1
7417009904,0,,1
7417009905,0,,1
7417009906,0,,1
7417009910,0,,1
7417009911,0,,1
7417009912,0,,1
7417009913,0,,1
7417009914,0,,1
7417009915,0,,1
7417009916,0,,1
7417009917,0,,1
7417009918,0,,1
7417017015,0,,1
7417017020,0,,1
7417017026,0,,1
7417018900,0,,1
7417018901,0,,1
7417018902,0,,1
7417018903,0,,1
7417018904,0,,1
7417018906,0,,1
7417018907,0,,1
7417018908,0,,1
7417018909,0,,1
7417018910,0,,1
7417018911,0,,1
7417018912,0,,1
7417018913,0,,1
7417018914,0,,1
7417018915,0,,1
7417018916,0,,1
7417018917,0,,1
7417018918,0,,1
7417018919,0,,1
7417019900,0,,1
7417019901,0,,1
7418004014,0,,1
7418006004,0,,1
7418006005,0,,1
7418006008,0,,1
7418006900,0,,1
7418007004,0,,1
7418009001,0,,1
7418009003,0,,1
7418009009,0,,1
7418009011,0,,1
7418009014,0,,1
7418009015,0,,1
7418009016,0,,1
7418009019,0,,1
7418009023,0,,1
7418009024,0,,1
7418009025,0,,1
7418009032,0,,1
7418009033,0,,1
7418010034,0,,1
7418012001,0,,1
7418012002,0,,1
7418012017,0,,1
7418013007,0,,1
7418013008,0,,1
7418014006,0,,1
7418014008,0,,1
7418015016,0,,1
7418015017,0,,1
7418016007,0,,1
7418021025,0,,1
7418023003,0,,1
7418023008,0,,1
7418023013,0,,1
7418023014,0,,1
7418023024,0,,1
7418023025,0,,1
7418023026,0,,1
7418023027,0,,1
7418025023,0,,1
7418025900,0,,1
7418026023,0,,1
7418027002,0,,1
7418027014,0,,1
7418027015,0,,1
7418027022,0,,1
7418031005,0,,1
7418031900,0,,1
7418033900,0,,1
7418037001,0,,1
7423001012,1,508.63,1
7423001016,0,,1
7423001035,0,,1
7423002014,0,,1
7423002015,0,,1
7423002016,0,,1
7423002017,0,,1
7423002018,0,,1
7423002019,0,,1
7423002037,0,,1
7423012011,0,,1
7423012012,0,,1
7423012013,0,,1
7423012018,0,,1
7423013007,0,,1
7423013008,0,,1
7423013011,0,,1
7423013017,0,,1
7423013020,0,,1
7423013021,0,,1
7423014015,0,,1
7423014021,0,,1
7423014022,0,,1
7423014027,0,,1
7423014028,0,,1
7423014032,0,,1
